machine,timestamp,createSeq,copied,ra,participantID,key,value
93,1409157096327,0,0,ls,900019312,id,900019312
93,1409157096327,1,0,ls,900019312,site,TST
93,1409157096327,2,0,ls,900019312,status,"00No Demograhics"
93,1409157103748,3,0,ls,900019312,contact.EmailAddress1,a
93,1409157110935,4,0,ls,900019312,survey.start,visit
93,1409157112606,5,0,ls,900019312,visit.Asked,Yes
93,1409157113153,6,0,ls,900019312,survey.page.visit,Response
93,1409157114279,7,0,ls,900019312,visit.Response,Agree
93,1409157114919,8,0,ls,900019312,survey.page.visit,Assent9-11
93,1409157116498,9,0,ls,900019312,visit.Assent9-11,Yes
93,1409157117060,10,0,ls,900019312,survey.page.visit,SetStatus
93,1409157117076,11,0,ls,900019312,survey.page.visit,Done!
93,1409157432014,0,0,ls,900019312,survey.start,visit
93,1409157570077,1,0,ls,900019312,survey.start,visit
93,1409157589529,2,0,ls,900029310,id,900029310
93,1409157589529,3,0,ls,900029310,site,TST
93,1409157589530,4,0,ls,900029310,status,"00No Demograhics"
93,1409157595623,5,0,ls,900029310,survey.start,demographics
93,1409157598841,9,0,ls,900029310,demographics.fname,test
93,1409157602232,19,0,ls,900029310,demographics.lname,tester
93,1409157603779,20,0,ls,900029310,demographics.mrn,1
93,1409157608234,24,0,ls,900029310,demographics.dob,2000-12-12
93,1409157610592,25,0,ls,900029310,demographics.gender,Male
93,1409157616263,26,0,ls,900029310,survey.start,visit
93,1409157618936,27,0,ls,900029310,visit.Asked,Yes
93,1409157619466,28,0,ls,900029310,survey.page.visit,Response
93,1409157620467,29,0,ls,900029310,visit.Response,Agree
93,1409157626514,30,0,ls,900029310,survey.page.visit,Assent9-11
93,1409157631404,31,0,ls,900029310,visit.Assent9-11,Yes
93,1409157632956,32,0,ls,900029310,survey.page.visit,SetStatus
93,1409157633748,33,0,ls,900029310,survey.start,contact
93,1409157636560,34,0,ls,900029310,contact.EmailAddress1,q
93,1409157642639,35,0,ls,900029310,contact.methodContact,"Your personal email address"
93,1409157643404,36,0,ls,900029310,survey.page.contact,schoolGrade1
93,1409157646435,37,0,ls,900029310,contact.schoolGrade1,"5th grade"
93,1409157647310,38,0,ls,900029310,survey.page.contact,hispanic
93,1409157649060,39,0,ls,900029310,contact.hispanic,Yes
93,1409157649593,40,0,ls,900029310,survey.page.contact,race
93,1409157650982,41,0,ls,900029310,contact.race,Asian
93,1409157651873,42,0,ls,900029310,survey.page.contact,parentHome
93,1409157654248,43,0,ls,900029310,contact.parentHome,One
93,1409157654998,44,0,ls,900029310,survey.page.contact,parentEduca
93,1409157657982,45,0,ls,900029310,contact.parentEducation,"Business, trade, or vocational school after high school"
93,1409157658591,46,0,ls,900029310,survey.page.contact,PermitLicense
93,1409157660655,47,0,ls,900029310,contact.PermitLicense,"Yes, a learner's permit only"
93,1409157661124,48,0,ls,900029310,survey.page.contact,NumberCarsNumberCars
93,1409157662436,49,0,ls,900029310,contact.,One
93,1409157663075,50,0,ls,900029310,survey.page.contact,setStatus
93,1409157663075,51,0,ls,900029310,status,01Screen
93,1409158548233,0,0,ls,900039314,id,900039314
93,1409158548234,1,0,ls,900039314,site,TST
93,1409158548234,2,0,ls,900039314,status,"00No Demograhics"
93,1409158556295,3,0,ls,900039314,survey.start,demographics
93,1409158563513,7,0,ls,900039314,demographics.dob,1982-06-08
93,1409158590217,8,0,ls,900039314,survey.start,visit
93,1409158592029,9,0,ls,900039314,visit.Asked,No
93,1409158593982,10,0,ls,900039314,visit.Asked,Yes
93,1409158596233,11,0,ls,900039314,survey.page.visit,Response
93,1409158599467,12,0,ls,900039314,visit.Response,Agree
93,1409158600669,13,0,ls,900039314,survey.page.visit,Assent9-11
93,1409158602654,14,0,ls,900039314,visit.Assent9-11,Yes
93,1409158604561,15,0,ls,900039314,survey.start,contact
93,1409158615187,29,0,ls,900039314,contact.EmailAddress1,amit@bansil.or
93,1409158616358,30,0,ls,900039314,contact.EmailAddress1,amit@bansil.org
93,1409158631467,31,0,ls,900039314,contact.methodContact,"Your personal email address"
93,1409158648294,32,0,ls,900039314,survey.page.contact,schoolGrade1
93,1409158676389,33,0,ls,900039314,contact.schoolGrade1,"2nd grade"
93,1409158680420,34,0,ls,900039314,survey.page.contact,hispanic
93,1409158682874,35,0,ls,900039314,contact.hispanic,No
93,1409158684310,36,0,ls,900039314,survey.page.contact,race
93,1409158691420,37,0,ls,900039314,contact.race,Asian
93,1409158693951,38,0,ls,900039314,survey.page.contact,parentHome
93,1409158696733,39,0,ls,900039314,contact.parentHome,One
93,1409158698342,40,0,ls,900039314,survey.page.contact,parentEduca
93,1409158701482,41,0,ls,900039314,contact.parentEducation,">8th grade, but not a high school graduate"
93,1409158704044,42,0,ls,900039314,survey.page.contact,PermitLicense
93,1409158708140,43,0,ls,900039314,contact.PermitLicense,"No, neither"
93,1409158709405,44,0,ls,900039314,survey.page.contact,NumberCarsNumberCars
93,1409158711592,45,0,ls,900039314,contact.,None
93,1409158714858,46,0,ls,900039314,status,01Screen
93,1409158859217,0,0,ab,500049363,id,500049363
93,1409158859217,1,0,ab,500049363,site,CHA
93,1409158859217,2,0,ab,500049363,status,"00No Demograhics"
93,1409158893997,0,0,ab,500049363,survey.start,contact
93,1409158897029,1,0,ab,500049363,contact.EmailAddress1,a
93,1409158901310,2,0,ab,500049363,contact.methodContact,"Your personal email address"
93,1409158904514,3,0,ab,500049363,survey.page.contact,schoolGrade1
93,1409158906217,4,0,ab,500049363,contact.schoolGrade1,"College junior"
93,1409158907186,5,0,ab,500049363,survey.page.contact,hispanic
93,1409158908779,6,0,ab,500049363,contact.hispanic,Yes
93,1409158909641,7,0,ab,500049363,survey.page.contact,race
93,1409158911249,8,0,ab,500049363,contact.race,Asian
93,1409158926311,9,0,ab,500049363,survey.page.contact,parentHome
93,1409158931044,10,0,ab,500049363,contact.parentHome,"Two or more"
93,1409158932357,11,0,ab,500049363,survey.page.contact,parentEduca
93,1409158934732,12,0,ab,500049363,contact.parentEducation,"High school graduate, or GED"
93,1409158936794,13,0,ab,500049363,survey.page.contact,PermitLicense
93,1409158938560,14,0,ab,500049363,contact.PermitLicense,"Yes, a learner's permit only"
93,1409158939374,15,0,ab,500049363,survey.page.contact,NumberCarsNumberCars
93,1409158941906,16,0,ab,500049363,contact.,One
93,1409158944061,17,0,ab,500049363,status,01Screen
93,1409159005779,18,0,ab,500049363,survey.start,contact
93,1409159015279,19,0,ab,500049363,status,01Screen
93,1409159082671,0,0,ab,500049363,survey.start,contact
93,1409159088091,1,0,ab,500049363,status,01Screen
93,1409159463872,0,0,ab,500049363,survey.start,contact
93,1409159466606,1,0,ab,500049363,status,01Screen
93,1409159470826,2,0,ab,500049363,survey.start,screen
93,1409159483247,3,0,ab,500049363,survey.start,contact
93,1409159485091,4,0,ab,500049363,status,01Screen
93,1409159489123,5,0,ab,500049363,survey.start,screen
93,1409159615904,0,0,ab,500049363,survey.start,contact
93,1409159618514,1,0,ab,500049363,status,01Screen
93,1409159629435,2,0,ab,500049363,survey.start,screen
93,1409159723312,0,0,ab,500049363,survey.start,contact
93,1409159725451,1,0,ab,500049363,status,01Screen
93,1409159733107,2,0,ab,500049363,survey.start,screen
93,1409159831717,3,0,ab,500049363,survey.start,contact
93,1409159838702,4,0,ab,500049363,survey.start,contact
93,1409159872841,0,0,ab,500049363,survey.start,contact
93,1409159876951,1,0,ab,500049363,status,01Screen
93,1409159878311,2,0,ab,500049363,survey.start,screen
93,1409169043191,1,0,ls,900059385,site,TST
93,1409169043191,0,0,ls,900059385,id,900059385
93,1409169043192,2,0,ls,900059385,status,"00No Demograhics"
93,1409169049722,3,0,ls,900059385,survey.start,demographics
93,1409169057754,6,0,ls,900059385,demographics.dob,0200-12-12
93,1409169059191,7,0,ls,900059385,demographics.dob,2002-12-12
93,1409169065940,8,0,ls,900059385,survey.start,visit
93,1409169069019,9,0,ls,900059385,visit.Asked,Yes
93,1409169069879,10,0,ls,900059385,survey.page.visit,Response
93,1409169078113,11,0,ls,900059385,visit.Response,Agree
93,1409169079550,12,0,ls,900059385,survey.page.visit,Assent9-11
93,1409169080425,13,0,ls,900059385,visit.Assent9-11,Yes
93,1409169082222,14,0,ls,900059385,survey.start,contact
93,1409169085394,15,0,ls,900059385,contact.EmailAddress1,a
93,1409169095581,16,0,ls,900059385,contact.methodContact1,"Your personal email address"
93,1409169096879,17,0,ls,900059385,contact.methodContact2,"Your parent's email address"
93,1409169111409,18,0,ls,900059385,survey.page.contact,schoolGrade1
93,1409169115425,19,0,ls,900059385,contact.schoolGrade1,"8th grade"
93,1409169116456,20,0,ls,900059385,survey.page.contact,hispanic
93,1409169119362,21,0,ls,900059385,survey.page.contact,race
93,1409169122035,22,0,ls,900059385,survey.page.contact,parentHome
93,1409169126566,23,0,ls,900059385,survey.page.contact,parentEduca
93,1409169130847,24,0,ls,900059385,survey.page.contact,PermitLicense
93,1409169143550,25,0,ls,900059385,contact.PermitLicense,"No, neither"
93,1409169144129,26,0,ls,900059385,status,"06No Screen"
93,1409169144175,27,0,ls,900059385,survey.page.contact,NumberCars
93,1409169164613,28,0,ls,900059385,contact.NumberCars,"Three or more"
93,1409169355518,0,0,ls,900059385,survey.start,contact
93,1409169360707,1,0,ls,900059385,survey.page.contact,!back
93,1409169362613,2,0,ls,900059385,survey.page.contact,NumberCars
93,1409169365377,3,0,ls,900059385,status,"06No Screen"
93,1409169365424,4,0,ls,900059385,survey.page.contact,end
93,1409169372222,5,0,ls,900059385,survey.start,screen
93,1409169387456,6,0,ls,900059385,survey.page.screen,FrYrUse9
93,1409169404737,7,0,ls,900059385,screen.FrYrUse9Alc,No
93,1409169406174,8,0,ls,900059385,screen.FrYrUse9Tob,No
93,1409169407549,9,0,ls,900059385,screen.FrYrUse9Mj,No
93,1409169416191,10,0,ls,900059385,screen.FrYrUse9Drug,No
93,1409169420394,11,0,ls,900059385,survey.page.screen,EverUse9Alc
93,1409169424738,12,0,ls,900059385,screen.EverUse9Alc,No
93,1409169425723,13,0,ls,900059385,survey.page.screen,EverUse9Tob
93,1409169427519,14,0,ls,900059385,screen.EverUse9Tob,Yes
93,1409169428457,15,0,ls,900059385,survey.page.screen,EverUse9Mj
93,1409169432238,16,0,ls,900059385,survey.page.screen,!back
93,1409169433644,17,0,ls,900059385,screen.EverUse9Tob,No
93,1409169434566,18,0,ls,900059385,survey.page.screen,EverUse9Mj
93,1409169439440,19,0,ls,900059385,screen.EverUse9Mj,No
93,1409169440348,20,0,ls,900059385,survey.page.screen,EverUse9Drug
93,1409169451238,21,0,ls,900059385,survey.page.screen,!back
93,1409169453535,22,0,ls,900059385,survey.page.screen,EverUse9Drug
93,1409169455222,23,0,ls,900059385,screen.EverUse9Drug,No
93,1409169457316,24,0,ls,900059385,survey.page.screen,Ride
93,1409169461098,25,0,ls,900059385,screen.Ride,No
93,1409169462097,26,0,ls,900059385,survey.page.screen,Drive
93,1409169466301,27,0,ls,900059385,survey.page.screen,!back
93,1409169466691,28,0,ls,900059385,survey.page.screen,!back
93,1409169467160,29,0,ls,900059385,survey.page.screen,!back
93,1409169467676,30,0,ls,900059385,survey.page.screen,!back
93,1409169468613,31,0,ls,900059385,survey.page.screen,!back
93,1409169469144,32,0,ls,900059385,survey.page.screen,!back
93,1409169472316,33,0,ls,900059385,survey.page.screen,EverUse9Alc
93,1409169474659,34,0,ls,900059385,survey.page.screen,EverUse9Tob
93,1409169476222,35,0,ls,900059385,survey.page.screen,EverUse9Mj
93,1409169477409,36,0,ls,900059385,survey.page.screen,EverUse9Drug
93,1409169479722,37,0,ls,900059385,survey.page.screen,Ride
93,1409169482332,38,0,ls,900059385,survey.page.screen,Drive
93,1409169575269,39,0,ls,900059385,survey.page.screen,!back
93,1409169575691,40,0,ls,900059385,survey.page.screen,!back
93,1409169576112,41,0,ls,900059385,survey.page.screen,!back
93,1409169583113,42,0,ls,900059385,survey.page.screen,!back
93,1409169583691,43,0,ls,900059385,survey.page.screen,!back
93,1409169584347,44,0,ls,900059385,survey.page.screen,!back
93,1409169590503,45,0,ls,900059385,survey.page.screen,EverUse9Alc
93,1409169904785,0,0,ls,900059385,survey.start,screen
93,1409169906862,1,0,ls,900059385,survey.page.screen,!back
93,1409169916409,2,0,ls,900059385,survey.page.screen,!back
93,1409169921065,3,0,ls,900059385,survey.start,screen
93,1409169922393,4,0,ls,900059385,survey.page.screen,FrYrUse9
93,1409169929613,5,0,ls,900059385,survey.page.screen,EverUse9Alc
93,1409169936145,6,0,ls,900059385,survey.page.screen,EverUse9Tob
93,1409169936847,7,0,ls,900059385,survey.page.screen,EverUse9Mj
93,1409169937363,8,0,ls,900059385,survey.page.screen,EverUse9Drug
93,1409169938456,9,0,ls,900059385,survey.page.screen,Ride
93,1409169939348,10,0,ls,900059385,survey.page.screen,Drive
93,1409169961457,11,0,ls,900059385,survey.page.screen,!back
93,1409169962425,12,0,ls,900059385,survey.page.screen,!back
93,1409169962957,13,0,ls,900059385,survey.page.screen,!back
93,1409169964753,14,0,ls,900059385,screen.EverUse9Mj,Yes
93,1409169965816,15,0,ls,900059385,survey.page.screen,EverUse9Drug
93,1409169970378,16,0,ls,900059385,screen.EverUse9Drug,Yes
93,1409169971379,17,0,ls,900059385,survey.page.screen,Ride
93,1409169974738,18,0,ls,900059385,survey.page.screen,Drive
93,1409169978706,19,0,ls,900059385,screen.Drive,No
93,1409169979301,20,0,ls,900059385,survey.page.screen,Relax
93,1409169980347,21,0,ls,900059385,screen.Relax,No
93,1409169980847,22,0,ls,900059385,survey.page.screen,Alone
93,1409169981489,23,0,ls,900059385,screen.Alone,No
